"Height","Age","Income","SAT"
69,40,3601.07,1192
68,82,28323.63,820
64,63,12253.69,1316
67,48,21312.69,793
70,33,25048.76,1233
70,37,13483.16,1017
64,46,26778.45,778
68,32,40098.49,1183
63,30,32387.76,1142
68,19,83053.06,942
73,75,29174.39,1152
72,58,27691.79,1106
68,30,37655.73,911
73,38,40643.55,986
72,71,116405.07,1024
69,54,49679.15,1403
65,65,17531.64,1087
68,65,33983.65,859
72,67,39376.92,1048
71,71,136205.06,1113
67,21,55332.11,698
61,30,35383.87,991
66,50,21826.9,831
61,68,26014.93,1164
64,76,11643.05,1043
68,47,49666.54,1020
66,73,50437.8,945
66,45,12324.87,1284
69,72,40273.74,1322
68,37,71181.96,1378
62,68,62865.41,1040
69,32,9628.18,1039
73,85,44656.29,1021
70,81,11470.65,1399
64,47,21627.57,878
64,67,37463.52,846
70,85,188296.87,853
62,39,8648.02,1072
68,20,27350.15,1028
67,31,11862.73,738
73,74,112892.72,885
66,87,59859.84,1079
66,75,56548.5,1006
72,21,44111.72,952
65,25,15609.83,981
69,75,42276.32,703
70,46,34397.41,961
68,67,28366.4,1137
66,38,38764.35,1246
71,73,25956.3,928
67,34,83170.33,1166
68,59,51822.32,1534
74,82,23904.29,1252
77,54,27276.49,652
71,87,46421.06,1031
72,37,70608.7,1122
66,45,42022.33,997
71,85,40124.22,934
67,85,29173.72,1001
70,38,10172.65,1434
64,19,14398.88,583
67,32,27924.82,1262
66,38,8396.6,1405
70,37,17100.43,752
73,69,12136,1177
74,55,24251.31,1130
72,65,48249.76,1600
67,35,66414.51,866
71,36,23537.41,1156
64,72,12212.62,905
70,81,4821.38,1415
64,73,37536.94,1086
65,21,60865.18,1036
68,32,6645.16,987
63,46,93834.78,1223
73,40,55211.26,847
63,71,47660.53,1039
67,75,39737.32,1264
65,48,29236.49,944
75,61,40772.26,887
71,39,4867.61,1209
68,78,121487.58,1093
72,57,47485.81,967
72,83,72959.38,1208
71,66,40411.92,1228
70,84,12023.76,999
71,81,7326.63,971
77,52,34780.37,863
65,70,18888.61,1296
69,32,51963.56,977
67,81,10385.99,1107
68,22,10657.05,1163
69,44,22461,952
73,33,44805.19,1009
71,36,18482.66,845
64,23,60259.89,1276
63,84,13801.45,661
72,66,62895.18,917
70,64,85876.91,810
74,59,30355.86,985
66,81,16078.5,1248
71,68,23889.49,1295
65,73,88894.89,1022
72,83,16760.25,1172
67,43,72321.3,820
71,49,90331.25,1000
71,36,7057.5,1527
63,68,45450.15,868
73,24,4128.99,1132
73,66,57049.15,957
64,81,82499.49,769
73,31,36402.05,1130
67,50,46800.67,1361
68,32,53691.08,961
72,31,4107.23,1125
69,49,29745.3,803
73,69,25226.22,1442
72,69,51098.27,931
74,62,8155.82,711
73,38,30810.69,1124
67,72,8367.89,1034
70,62,85495.35,1217
69,51,85635.4,774
65,85,4841.97,1049
71,19,5498.4,978
66,58,7882.47,1037
70,34,42294.79,1322
65,23,78000.05,1174
68,38,28853.58,1135
64,52,20711.34,988
74,88,22327.39,1074
71,23,45263.38,948
62,59,15957.2,997
66,76,36372.05,616
67,28,45694.07,1027
65,27,23505.5,715
71,71,67039.57,1385
72,66,27517.65,941
72,47,27595.37,1042
73,47,28737.87,1270
63,79,30744.96,1029
64,45,73686.06,1055
62,88,8312.74,1367
75,71,21940.92,785
70,66,59528.41,1183
73,42,27794.63,1241
71,52,76460.08,1167
69,76,39700.06,899
74,50,19814.56,1246
69,28,68825.93,1131
68,26,80800.23,1171
68,41,18356.28,1310
73,32,26342.87,628
66,26,91198.07,1180
66,50,38773.03,875
60,71,31953.79,628
71,19,64768.49,1164
73,31,52112.86,1072
65,74,22783.42,1276
63,55,11744.55,1006
71,25,24148.85,822
67,84,21876.68,1164
71,81,6510.31,848
66,65,7608.26,1247
67,81,44444.84,1068
66,27,66663.01,876
73,71,20022.78,878
63,70,50858.09,836
70,37,88346.75,1122
64,84,7613.64,903
65,89,85689.31,959
67,41,17427.9,908
70,38,15079.23,1099
73,54,19330.25,1038
67,43,38676,828
74,73,54079.47,1578
70,20,52703.84,1017
68,73,41580.16,515
73,74,41826.09,920
71,58,18939.16,1093
71,33,8980.18,1422
71,26,6536.39,866
64,76,31178.28,400
68,75,42958.41,978
71,52,30236.42,1057
77,57,2021.56,1027
68,60,39320.12,1026
70,37,39739.46,1136
72,75,38092.71,743
69,33,121411.24,944
69,54,57783.33,931
73,39,69604.99,1384
66,47,24510.25,1110
64,33,15198.41,1427
63,85,9814.55,775
68,44,28000.97,1003
63,28,23398.68,906
64,37,9157.01,1154
